Genes,Clinical_Importance_level,Transmissibility_level,Mobility_level,Pathogenic_level,Clinial_Importance_score,Transmissbilitty_score,Mobility_score,Pathogenic_score,Final_Risk_score
dfra24,Marginally Important,Not Defined,Not Defined,Not Defined,0.0,0.0,0.0,0.0,0.0
dfr22,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra18,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra20,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra22,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra26,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra31,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra37,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfra6 from proteus mirabilis,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfrb6,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfrb9,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
dfrd,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
mycobacterium tuberculosis embb mutant conferring resistance to ethambutol,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
mycobacterium tuberculosis embc mutant conferring resistance to ethambutol,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
mycobacterium tuberculosis pnca mutations conferring resistance to pyrazinamide,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
planobispora rosea ef-tu mutants conferring resistance to inhibitor ge2270a,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
streptomyces cinnamoneus ef-tu mutants conferring resistance to elfamycin,Marginally Important,Not Defined,Not Defined,Very Low,0.0,0.0,0.0,3.5,3.5
